session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
110,HR,6697,IH,2,1,2008-07-31,To provide for marginal well production preservation and enhancement.,Dan Boren,Energy,Democrat
110,HR,6697,IH,3,1,2008-07-31,To provide for marginal well production preservation and enhancement.,Dan Boren,Energy,Democrat
110,HR,6697,IH,4,1,2008-07-31,To provide for marginal well production preservation and enhancement.,Dan Boren,Energy,Democrat
110,HR,6697,IH,5,1,2008-07-31,To provide for marginal well production preservation and enhancement.,Dan Boren,Energy,Democrat
110,HR,6698,IH,1,1,2008-07-31,To provide for nondiscrimination by eligible lenders in the Robert T. Stafford Federal Student Loan Program.,Brian Baird,Education,Democrat
110,HR,6698,IH,2,1,2008-07-31,To provide for nondiscrimination by eligible lenders in the Robert T. Stafford Federal Student Loan Program.,Brian Baird,Education,Democrat
110,HR,6699,IH,1,1,2008-07-31,"To amend title XVIII of the Social Security Act to reform Medicare payments to physicians and certain other providers and improve Medicare benefits, to encourage the offering of health coverage by small businesses, to provide tax incentives for the purchase of health insurance by individuals, to increase access to health care for veterans, to address the nursing shortage, and for other purposes.",Tom Latham,Health,Republican
110,HR,6699,IH,2,1,2008-07-31,"To amend title XVIII of the Social Security Act to reform Medicare payments to physicians and certain other providers and improve Medicare benefits, to encourage the offering of health coverage by small businesses, to provide tax incentives for the purchase of health insurance by individuals, to increase access to health care for veterans, to address the nursing shortage, and for other purposes.",Tom Latham,Health,Republican
110,HR,6699,IH,3,1,2008-07-31,"To amend title XVIII of the Social Security Act to reform Medicare payments to physicians and certain other providers and improve Medicare benefits, to encourage the offering of health coverage by small businesses, to provide tax incentives for the purchase of health insurance by individuals, to increase access to health care for veterans, to address the nursing shortage, and for other purposes.",Tom Latham,Health,Republican
110,HR,6699,IH,4,1,2008-07-31,"To amend title XVIII of the Social Security Act to reform Medicare payments to physicians and certain other providers and improve Medicare benefits, to encourage the offering of health coverage by small businesses, to provide tax incentives for the purchase of health insurance by individuals, to increase access to health care for veterans, to address the nursing shortage, and for other purposes.",Tom Latham,Health,Republican
110,HR,6699,IH,5,1,2008-07-31,"To amend title XVIII of the Social Security Act to reform Medicare payments to physicians and certain other providers and improve Medicare benefits, to encourage the offering of health coverage by small businesses, to provide tax incentives for the purchase of health insurance by individuals, to increase access to health care for veterans, to address the nursing shortage, and for other purposes.",Tom Latham,Health,Republican
110,HR,6699,IH,6,1,2008-07-31,"To amend title XVIII of the Social Security Act to reform Medicare payments to physicians and certain other providers and improve Medicare benefits, to encourage the offering of health coverage by small businesses, to provide tax incentives for the purchase of health insurance by individuals, to increase access to health care for veterans, to address the nursing shortage, and for other purposes.",Tom Latham,Health,Republican
