session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
104,S,1266,IS,2,20,1995-09-22,"A bill to require the Board of Governors of the Federal Reserve System to focus on price stability in establishing monetary policy to ensure the stable, long-term purchasing power of the currency, to repeal the Full Employment and Balanced Growth Act of 1978, and for other purposes.",Connie Mack,Macroeconomics,Republican
104,S,1266,IS,3,20,1995-09-22,"A bill to require the Board of Governors of the Federal Reserve System to focus on price stability in establishing monetary policy to ensure the stable, long-term purchasing power of the currency, to repeal the Full Employment and Balanced Growth Act of 1978, and for other purposes.",Connie Mack,Macroeconomics,Republican
104,S,1268,IS,1,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,2,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,3,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,4,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,5,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,6,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,7,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,8,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,9,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,10,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,11,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,12,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,13,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,14,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,15,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,16,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,17,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,18,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1268,IS,19,6,1995-09-22,"A bill to provide assistance for the establishment of community rural health networks in chronically underserved areas, to provide incentives for providers of health care services to furnish services in such areas, and for other purposes.",Craig Thomas,Health,Republican
104,S,1269,IS,1,1,1995-09-22,"A bill to amend the Intermodal Surface Transportation Efficiency Act of 1991 to provide for the establishment of Internet, dial-in network, and telephone access to information on traffic conditions as part of the intelligent vehicle-highway systems program, and for other purposes.",Charles Robb,Transportation,Democrat
104,S,127,IS,1,1,1995-01-04,"A bill to improve the administration of the Women's Rights National Historical Park in the State of New York, and for other purposes.",Daniel Moynihan,Public_Lands,Democrat
104,S,127,IS,2,1,1995-01-04,"A bill to improve the administration of the Women's Rights National Historical Park in the State of New York, and for other purposes.",Daniel Moynihan,Public_Lands,Democrat
104,S,1270,IS,1,1,1995-09-25,"A bill to exempt stored value cards from the Electronic Fund Transfer Act, and for other purposes.",Robert Bennett,Domestic_Commerce,Republican
104,S,1272,IS,1,1,1995-09-25,A bill to authorize the Secretary of Transportation to issue a certificate of documentation and coastwise trade endorsement for the vessel BILLY BUCK.,Ernest Hollings,Transportation,Democrat
104,S,1273,IS,1,1,1995-09-26,A bill to amend the Internal Revenue Code of 1986 to allow a credit for interest paid on education loans.,Charles Grassley,Education,Republican
104,S,1273,IS,2,1,1995-09-26,A bill to amend the Internal Revenue Code of 1986 to allow a credit for interest paid on education loans.,Charles Grassley,Education,Republican
104,S,1274,IS,1,7,1995-09-26,"A bill to amend the Solid Waste Disposal Act to improve management of remediation waste, and for other purposes.",Trent Lott,Environment,Republican
